model_id_1,model_id_2,queries,reference_bv_tests,official_bv_tests,candidate_root_bv_tests,candidate_internal_bv_tests,reference_triangle_tests,official_triangle_tests,candidate_leaf_tests,official_tp,official_tn,official_fp,official_fn,candidate_tp,candidate_tn,candidate_fp,candidate_fn
1,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
1,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
1,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
1,5,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
1,14,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
1,15,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
1,16,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
1,17,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
1,18,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
1,19,28517,109572,102752,28517,66824,6123,3496,1935,1843,26628,46,0,1843,26582,92,0
1,20,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
3,17,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
4,17,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
5,17,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
6,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
6,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
6,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
6,5,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
6,13,4206,11170,18108,4206,28188,0,0,0,0,4206,0,0,0,4206,0,0
6,14,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
6,15,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
6,16,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
6,17,4633,0,0,4633,0,0,0,0,0,4633,0,0,0,4633,0,0
6,18,4633,602,624,4633,406,0,0,0,0,4633,0,0,0,4633,0,0
6,19,13038,1274,1138,13038,832,78,46,22,21,13017,0,0,21,13016,1,0
6,20,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
7,2,4169,0,0,4169,0,0,0,0,0,4169,0,0,0,4169,0,0
7,3,4169,0,0,4169,0,0,0,0,0,4169,0,0,0,4169,0,0
7,4,4169,0,0,4169,0,0,0,0,0,4169,0,0,0,4169,0,0
7,5,4169,0,0,4169,0,0,0,0,0,4169,0,0,0,4169,0,0
7,13,3759,0,0,3759,0,0,0,0,0,3759,0,0,0,3759,0,0
7,14,3759,0,0,3759,0,0,0,0,0,3759,0,0,0,3759,0,0
7,15,3759,0,0,3759,0,0,0,0,0,3759,0,0,0,3759,0,0
7,16,3759,0,0,3759,0,0,0,0,0,3759,0,0,0,3759,0,0
7,17,4159,0,0,4159,0,0,0,0,0,4159,0,0,0,4159,0,0
7,18,4159,10,8,4159,8,0,0,0,0,4159,0,0,0,4159,0,0
7,19,4760,0,0,4760,0,0,0,0,0,4760,0,0,0,4760,0,0
7,20,3759,0,0,3759,0,0,0,0,0,3759,0,0,0,3759,0,0
8,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
8,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
8,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
8,5,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
8,13,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
8,14,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
8,15,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
8,16,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
8,17,4630,0,0,4630,0,0,0,0,0,4630,0,0,0,4630,0,0
8,18,4630,14,8,4630,8,0,0,0,0,4630,0,0,0,4630,0,0
8,19,12516,1114,932,12516,802,13,15,14,13,12501,2,0,13,12502,1,0
8,20,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
9,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
9,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
9,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
9,5,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
9,13,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
9,14,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
9,15,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
9,16,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
9,17,4625,0,0,4625,0,0,0,0,0,4625,0,0,0,4625,0,0
9,18,4625,0,0,4625,0,0,0,0,0,4625,0,0,0,4625,0,0
9,19,12497,0,0,12497,0,0,0,0,0,12497,0,0,0,12497,0,0
