model_id_1,model_id_2,queries,original_bv_tests,proxy_bv_tests,original_tri_tests,proxy_tri_tests,original_positives,proxy_positives,tp,tn,fp,fn
12,17,4625,0,0,0,0,0,0,0,4625,0,0
12,18,4625,0,4,0,0,0,0,0,4625,0,0
12,19,4625,4564,4310,1666,399,4,37,4,4588,33,0
12,20,4206,0,0,0,0,0,0,0,4206,0,0
12,21,4206,0,251022,0,0,0,0,0,4206,0,0
12,26,1317,0,0,0,0,0,0,0,1317,0,0
12,37,2889,0,0,0,0,0,0,0,2889,0,0
13,2,4640,0,0,0,0,0,0,0,4640,0,0
13,3,4640,0,0,0,0,0,0,0,4640,0,0
13,4,4640,0,0,0,0,0,0,0,4640,0,0
13,5,4640,0,0,0,0,0,0,0,4640,0,0
13,15,4206,0,0,0,0,0,0,0,4206,0,0
13,16,4206,0,0,0,0,0,0,0,4206,0,0
13,17,4621,0,0,0,0,0,0,0,4621,0,0
13,18,4621,0,2,0,0,0,0,0,4621,0,0
13,19,4621,148,3048,0,201,0,35,0,4586,35,0
13,20,4206,0,0,0,0,0,0,0,4206,0,0
13,21,4206,0,252330,0,0,0,0,0,4206,0,0
13,26,1317,0,0,0,0,0,0,0,1317,0,0
13,37,4114,0,0,0,0,0,0,0,4114,0,0
14,2,4640,0,0,0,0,0,0,0,4640,0,0
14,3,4640,0,0,0,0,0,0,0,4640,0,0
14,4,4640,0,4,0,0,0,0,0,4640,0,0
14,5,4640,0,604,0,0,0,0,0,4640,0,0
14,16,4206,0,0,0,0,0,0,0,4206,0,0
14,17,4621,0,0,0,0,0,0,0,4621,0,0
14,18,4621,0,0,0,0,0,0,0,4621,0,0
14,19,4621,0,24,0,1,0,1,0,4620,1,0
14,20,4206,0,0,0,0,0,0,0,4206,0,0
14,21,4206,0,252360,0,0,0,0,0,4206,0,0
14,26,1317,0,0,0,0,0,0,0,1317,0,0
14,37,4114,0,0,0,0,0,0,0,4114,0,0
15,2,4640,0,0,0,0,0,0,0,4640,0,0
15,3,4640,0,7540,0,0,0,0,0,4640,0,0
15,4,4640,0,0,0,0,0,0,0,4640,0,0
15,5,4640,0,18412,0,865,0,0,0,4640,0,0
15,17,4621,0,0,0,0,0,0,0,4621,0,0
15,18,4621,0,0,0,0,0,0,0,4621,0,0
15,19,4621,0,0,0,0,0,0,0,4621,0,0
15,21,4206,0,252352,0,0,0,0,0,4206,0,0
15,26,1317,0,0,0,0,0,0,0,1317,0,0
15,37,4114,0,0,0,0,0,0,0,4114,0,0
16,2,4640,0,0,0,0,0,0,0,4640,0,0
16,4,4640,0,0,0,0,0,0,0,4640,0,0
16,5,4640,46400,253302,0,38983,0,4640,0,0,4640,0
16,17,4621,0,0,0,0,0,0,0,4621,0,0
16,18,4621,0,0,0,0,0,0,0,4621,0,0
16,19,4621,0,0,0,0,0,0,0,4621,0,0
16,26,1317,0,0,0,0,0,0,0,1317,0,0
16,37,4114,0,0,0,0,0,0,0,4114,0,0
18,2,4206,0,0,0,0,0,0,0,4206,0,0
18,3,4206,0,0,0,0,0,0,0,4206,0,0
18,4,4206,0,0,0,0,0,0,0,4206,0,0
18,5,4206,0,0,0,0,0,0,0,4206,0,0
18,21,4206,56492,252360,0,0,0,0,0,4206,0,0
19,2,4206,0,0,0,0,0,0,0,4206,0,0
19,3,4206,0,0,0,0,0,0,0,4206,0,0
19,4,4206,0,0,0,0,0,0,0,4206,0,0
19,5,4206,0,0,0,0,0,0,0,4206,0,0
19,17,4206,8412,52504,0,0,0,0,0,4206,0,0
19,21,4206,0,225372,0,0,0,0,0,4206,0,0
20,17,4621,0,0,0,0,0,0,0,4621,0,0
20,18,4621,0,0,0,0,0,0,0,4621,0,0
20,19,4621,0,0,0,0,0,0,0,4621,0,0
20,26,1317,0,0,0,0,0,0,0,1317,0,0
20,37,2889,0,0,0,0,0,0,0,2889,0,0
26,2,1317,0,0,0,0,0,0,0,1317,0,0
26,3,1317,0,0,0,0,0,0,0,1317,0,0
26,4,1317,0,0,0,0,0,0,0,1317,0,0
26,5,1317,0,0,0,0,0,0,0,1317,0,0
26,17,1317,0,2634,0,0,0,0,0,1317,0,0
