model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
10,3,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
10,4,4640,0,0,4640,4643,4640,4643,0,0,32477,0,0,32480,32477,0,0,0,0
10,5,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
10,13,4206,0,29,4206,8339,4206,8368,0,0,25338,0,0,35855,25338,0,0,0,0
10,14,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
10,15,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
10,16,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
10,17,4625,0,0,4625,4625,4625,4625,0,0,32375,0,0,32375,32375,0,0,0,0
10,18,4625,0,718,4625,5092,4625,5810,0,231,31949,0,0,35330,31949,0,0,3,0
10,19,12497,24,78,12497,20930,12521,21008,0,28,79046,0,0,94928,79046,0,0,1,0
10,20,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
11,2,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
11,3,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
11,4,4640,0,0,4640,4655,4640,4655,0,0,32465,0,0,32480,32465,0,0,0,0
11,5,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
11,17,4625,0,0,4625,4625,4625,4625,0,0,32375,0,0,32375,32375,0,0,0,0
11,18,4625,0,0,4625,4688,4625,4688,0,0,32312,0,0,32414,32312,0,0,0,0
11,19,4625,252,298,4625,5774,4877,6072,14,72,31248,0,0,34120,31248,0,0,0,0
12,2,4640,0,0,4640,4773,4640,4773,0,0,292187,0,0,292628,292187,0,0,0,0
12,3,4640,0,0,4640,4640,4640,4640,0,0,292320,0,0,292320,292320,0,0,0,0
12,4,4640,0,0,4640,4747,4640,4747,0,0,292213,0,0,292568,292213,0,0,0,0
12,5,4640,0,0,4640,4640,4640,4640,0,0,292320,0,0,292320,292320,0,0,0,0
12,14,4206,0,0,4206,4206,4206,4206,0,0,264978,0,0,264978,264978,0,0,0,0
12,15,4206,0,0,4206,4206,4206,4206,0,0,264978,0,0,264978,264978,0,0,0,0
12,16,4206,0,0,4206,4206,4206,4206,0,0,264978,0,0,264978,264978,0,0,0,0
12,17,4625,0,0,4625,4625,4625,4625,0,0,291375,0,0,291375,291375,0,0,0,0
12,18,4625,0,49,4625,4876,4625,4925,0,0,291169,0,0,294169,291169,0,0,0,0
12,19,4625,392,851,4625,5859,5017,6710,4,84,290364,0,0,304641,290364,0,0,0,0
12,20,4206,0,0,4206,4206,4206,4206,0,0,264978,0,0,264978,264978,0,0,0,0
12,21,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
12,26,1317,0,0,1317,1317,1317,1317,0,0,9219,0,0,9219,9219,0,0,0,0
