model_id_1,model_id_2,queries,original_bv_tests,proxy_bv_tests,original_tri_tests,proxy_tri_tests,original_positives,proxy_positives,tp,tn,fp,fn
9,17,4625,0,2106,0,2,0,2,0,4623,2,0
9,18,4625,0,6848,0,1135,0,134,0,4491,134,0
9,19,12497,0,0,0,0,0,0,0,12497,0,0
9,20,4206,0,0,0,0,0,0,0,4206,0,0
9,21,4206,0,0,0,0,0,0,0,4206,0,0
9,26,9195,17912,17912,6,6,6,6,6,9189,0,0
9,37,2889,302,302,0,0,0,0,0,2889,0,0
10,2,4640,0,0,0,0,0,0,0,4640,0,0
10,3,4640,0,0,0,0,0,0,0,4640,0,0
10,4,4640,0,0,0,0,0,0,0,4640,0,0
10,5,4640,0,0,0,0,0,0,0,4640,0,0
10,13,4206,0,78,0,0,0,0,0,4206,0,0
10,14,4206,0,0,0,0,0,0,0,4206,0,0
10,15,4206,0,0,0,0,0,0,0,4206,0,0
10,16,4206,0,0,0,0,0,0,0,4206,0,0
10,17,4625,0,2662,0,0,0,0,0,4625,0,0
10,18,4625,0,1074,0,21,0,11,0,4614,11,0
10,19,12497,24,102,0,9,0,0,0,12497,0,0
10,20,4206,0,0,0,0,0,0,0,4206,0,0
10,21,4206,0,0,0,0,0,0,0,4206,0,0
10,26,9189,0,0,0,0,0,0,0,9189,0,0
10,37,2889,104,114,0,0,0,0,0,2889,0,0
11,2,4640,0,0,0,0,0,0,0,4640,0,0
11,3,4640,0,0,0,0,0,0,0,4640,0,0
11,4,4640,0,0,0,0,0,0,0,4640,0,0
11,5,4640,0,0,0,0,0,0,0,4640,0,0
11,17,4625,0,624,0,0,0,0,0,4625,0,0
11,18,4625,0,24,0,0,0,0,0,4625,0,0
11,19,4625,212,96,0,18,0,4,0,4621,4,0
11,21,4206,0,0,0,0,0,0,0,4206,0,0
11,26,1317,0,0,0,0,0,0,0,1317,0,0
11,37,2889,0,0,0,0,0,0,0,2889,0,0
12,2,4640,0,0,0,0,0,0,0,4640,0,0
12,3,4640,0,0,0,0,0,0,0,4640,0,0
12,4,4640,0,0,0,0,0,0,0,4640,0,0
12,5,4640,0,0,0,0,0,0,0,4640,0,0
12,14,4206,0,0,0,0,0,0,0,4206,0,0
12,15,4206,0,0,0,0,0,0,0,4206,0,0
12,16,4206,0,0,0,0,0,0,0,4206,0,0
12,17,4625,0,1624,0,0,0,0,0,4625,0,0
12,18,4625,0,336,0,65,0,0,0,4625,0,0
12,19,4625,4564,2506,1666,274,4,81,4,4544,77,0
12,20,4206,0,0,0,0,0,0,0,4206,0,0
12,21,4206,0,0,0,0,0,0,0,4206,0,0
12,26,1317,0,0,0,0,0,0,0,1317,0,0
12,37,2889,0,0,0,0,0,0,0,2889,0,0
13,2,4640,0,0,0,0,0,0,0,4640,0,0
13,3,4640,0,0,0,0,0,0,0,4640,0,0
13,4,4640,0,0,0,0,0,0,0,4640,0,0
13,5,4640,0,0,0,0,0,0,0,4640,0,0
