model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
9,20,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29456,29442,0,0,0,0
10,2,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32482,32480,0,0,0,0
10,3,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32480,32480,0,0,0,0
10,4,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,34672,32480,0,0,0,0
10,5,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,33207,32480,0,0,0,0
10,13,4206,0,24,4206,4757,4206,4781,0,0,28925,4835,0,49973,28925,0,0,0,0
10,14,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,33513,29442,0,0,0,0
10,15,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29542,29442,0,0,0,0
10,16,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,30353,29442,0,0,0,0
10,17,4625,0,0,4625,4625,4625,4625,0,0,32375,4625,0,33455,32375,0,0,0,0
10,18,4625,0,670,4625,5064,4625,5734,0,231,32025,26570,0,42370,32025,0,0,3,0
10,19,12497,24,83,12497,12498,12521,12581,0,28,87473,15513,0,111832,87473,0,0,1,0
10,20,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
11,2,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32480,32480,0,0,0,0
11,3,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32484,32480,0,0,0,0
11,4,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,33588,32480,0,0,0,0
11,5,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,34414,32480,0,0,0,0
11,17,4625,0,0,4625,4625,4625,4625,0,0,32375,4625,0,34905,32375,0,0,0,0
11,18,4625,0,0,4625,4658,4625,4658,0,0,32342,4658,0,33431,32342,0,0,0,0
11,19,4625,252,248,4625,4629,4877,4877,14,72,32443,14609,0,41415,32443,0,0,0,0
12,2,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,292713,292320,0,0,0,0
12,3,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,292320,292320,0,0,0,0
12,4,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,304526,292320,0,0,0,0
12,5,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,301498,292320,0,0,0,0
12,14,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,266034,264978,0,0,0,0
